URL,#_of_valid_wiki_pages_linked,#_of_supported_languages,word_count
University_of_St._Andrews,1162,59,18041
Johns_Hopkins_University_Press,67,25,984
Methodist_University,253,3,2594
University_of_Kentucky,813,34,9912
South_China_Morning_Post,267,31,8167
Sonja_Brentjes,40,4,1310
Encyclopaedia_of_Islam_Online,65,34,2364
Archive_for_History_of_Exact_Sciences,33,3,551
Leo_Corry,35,5,1034
Springer_Science_%26_Business_Media,144,35,1954
Niccol%C3%B2_Guicciardini,8,4,474
Oxford_University_Press,375,59,6653
University_of_St_Andrews,1159,59,18035
Byju%27s,156,6,6160
James_Franklin_(philosopher),51,5,1999
Fred_S._Roberts,21,4,756
Thomas_Callister_Hales,121,13,1649
Rod_Downey,199,5,2138
Cambridge_University_Press,414,49,7259
Michael_Sipser,50,6,1179
Stanford_Encyclopedia_of_Philosophy,151,43,1176
Hdl_(identifier),70,26,3261
Natalie_Wolchover,39,1,1240
Quanta_Magazine,22,7,881
PhilArchive,22,8,791
Jeremy_Avigad,14,3,490
Carnegie_Mellon_University,1137,54,15492
Ernst_Snapper,29,1,1231
Joan_Moschovakis,19,1,546
Joseph_Halpern,100,5,787
Robert_Harper_(computer_scientist),34,1,901
Neil_Immerman,104,8,782
Phokion_Kolaitis,56,1,894
Moshe_Vardi,277,9,2036
Victor_Vianu,31,1,635
C._R._Rao,1476,30,7693
C.R._Rao,1476,30,7697
Yadolah_Dodge,23,2,551
Lloyd_N._Trefethen,168,6,1834
Timothy_Gowers,262,35,2837
June_Barrow-Green,30,6,942
Imre_Leader,22,4,881
Princeton_University_Press,238,28,1827
Pi_Mu_Epsilon_Journal,22,1,840
Ralph_P._Boas_Jr.,64,9,1572
Mathematical_Association_of_America,120,16,2200
The_Oxford_Dictionary_of_English_Etymology,51,3,644
Oxford_English_Dictionary,313,83,11026
Raymond_L._Wilder,111,8,1896
Claudia_Zaslavsky,18,3,1712
Thomas_Heath_(classicist),60,15,1425
%C3%98ystein_Ore,77,19,1218
George_Saliba,16,7,1938
Raymond_Clare_Archibald,51,6,1682
Stephen_Wolfram,121,38,3283
Jo-Anne_LeFevre,7,1,543
University_of_California_Merced,457,24,8105
John_Wiley_%26_Sons,178,29,7157
Sigma_Xi,152,10,2012
Roman_Frigg,11,1,995
Stephan_Hartmann,23,2,740
Ian_Stewart_(mathematician),153,22,2109
Dennis_Elliot_Shasha,27,1,887
Massimo_Pigliucci,247,12,3255
